nrh,ix,L,R
1,4,2504,1663
2,3,2499,1670
3,7,2519,1690
5,5,2536,1742
7,1,2483,1685
8,4,2479,1707
9,9,2529,1753
14,3,2511,1798
15,7,2511,1794
18,9,2533,1862
19,1,2545,1886
20,9,2427,1767
24,5,2497,1842
27,9,2519,1900
28,3,2461,1871
30,5,2473,1870
32,5,2518,1928
33,6,2475,1925
35,6,2498,1921
36,2,2529,2000
37,6,2482,1940
38,3,2475,1965
39,5,2427,1861
41,5,2468,1993
42,6,2523,2047
43,9,2465,1961
44,7,2409,1925
45,3,2535,2038
47,4,2487,2051
48,6,2453,2007
51,6,2533,2023
54,6,2480,2079
55,6,2514,2129
57,4,2518,2112
58,7,2503,2128
59,5,2494,2083
62,1,2452,2094
64,5,2320,2039
65,2,2503,2190
69,8,2536,2224
70,6,2479,2171
74,2,2424,2165
75,6,2440,2244
79,2,2453,2257
80,7,2454,2231
81,3,2378,2239
82,3,2373,2229
83,8,2332,2207
84,6,2347,2222
85,9,2541,2306
86,2,2395,2310
88,5,2406,2315
89,1,2365,2263
92,4,2464,2338
93,5,2354,2339
95,7,2508,2380
97,9,2344,2358
99,1,2264,2320
101,5,2324,2370
103,1,2281,2337
104,4,2239,2296
108,3,2284,2413
112,1,2229,2370
114,6,2139,2319
118,1,2200,2401
119,5,2242,2406
123,7,2143,2462
124,9,2107,2395
125,8,2174,2421
128,3,2128,2398
132,4,2095,2416
133,6,2081,2411
134,1,1932,2347
135,4,2070,2442
136,4,2139,2470
138,6,2063,2466
140,3,2030,2444
141,6,2046,2443
142,5,1989,2434
144,6,1979,2429
146,9,2046,2446
148,3,2041,2452
149,9,1988,2413
150,8,1993,2439
155,7,1892,2437
156,5,1950,2485
160,1,1977,2470
163,7,1866,2446
165,6,1820,2476
166,7,1785,2470
167,4,1852,2466
168,7,1734,2449
170,3,1791,2479
171,1,1762,2458
172,7,1781,2474
175,2,1751,2465
176,5,1773,2494
177,8,1702,2472
180,1,1630,2449
182,9,1669,2474
